window,dso,trafo,direction,variant,max_step_mvar
d_ramp_up_spring,DSO_2,DSO_2|trafo_4,down,frozen_ofo,10.0
d_ramp_up_spring,DSO_2,DSO_2|trafo_5,up,frozen_ofo,10.0
d_ramp_up_spring,DSO_3,DSO_3|trafo_6,down,frozen_ofo,10.0
d_ramp_up_spring,DSO_3,DSO_3|trafo_7,up,frozen_ofo,10.0
d_ramp_up_spring,DSO_3,DSO_3|trafo_8,down,frozen_ofo,10.0
d_ramp_up_spring,DSO_4,DSO_4|trafo_9,up,frozen_ofo,10.0
d_ramp_up_spring,DSO_4,DSO_4|trafo_10,down,frozen_ofo,10.0
d_ramp_up_spring,DSO_4,DSO_4|trafo_11,up,frozen_ofo,10.0
d_ramp_down_summer,DSO_1,DSO_1|trafo_0,up,frozen_ofo,10.0
d_ramp_down_summer,DSO_1,DSO_1|trafo_1,down,frozen_ofo,10.0
d_ramp_down_summer,DSO_1,DSO_1|trafo_2,up,frozen_ofo,10.0
d_ramp_down_summer,DSO_2,DSO_2|trafo_3,down,frozen_ofo,10.0
d_ramp_down_summer,DSO_2,DSO_2|trafo_4,up,frozen_ofo,10.0
d_ramp_down_summer,DSO_2,DSO_2|trafo_5,down,frozen_ofo,10.0
d_ramp_down_summer,DSO_3,DSO_3|trafo_6,up,frozen_ofo,10.0
d_ramp_down_summer,DSO_3,DSO_3|trafo_7,down,frozen_ofo,10.0
d_ramp_down_summer,DSO_3,DSO_3|trafo_8,up,frozen_ofo,10.0
d_ramp_down_summer,DSO_4,DSO_4|trafo_9,down,frozen_ofo,10.0
d_ramp_down_summer,DSO_4,DSO_4|trafo_10,up,frozen_ofo,10.0
d_ramp_down_summer,DSO_4,DSO_4|trafo_11,down,frozen_ofo,10.0
d_ramp_down_spring,DSO_1,DSO_1|trafo_0,down,frozen_ofo,10.0
d_ramp_down_spring,DSO_1,DSO_1|trafo_1,up,frozen_ofo,10.0
d_ramp_down_spring,DSO_1,DSO_1|trafo_2,down,frozen_ofo,10.0
d_ramp_down_spring,DSO_2,DSO_2|trafo_3,up,frozen_ofo,10.0
d_ramp_down_spring,DSO_2,DSO_2|trafo_4,down,frozen_ofo,10.0
d_ramp_down_spring,DSO_2,DSO_2|trafo_5,up,frozen_ofo,10.0
d_ramp_down_spring,DSO_3,DSO_3|trafo_6,down,frozen_ofo,10.0
d_ramp_down_spring,DSO_3,DSO_3|trafo_7,up,frozen_ofo,10.0
d_ramp_down_spring,DSO_3,DSO_3|trafo_8,down,frozen_ofo,10.0
d_ramp_down_spring,DSO_4,DSO_4|trafo_9,up,frozen_ofo,10.0
d_ramp_down_spring,DSO_4,DSO_4|trafo_10,down,frozen_ofo,10.0
d_ramp_down_spring,DSO_4,DSO_4|trafo_11,up,frozen_ofo,10.0
d_reversal_spring,DSO_1,DSO_1|trafo_0,up,frozen_ofo,10.0
d_reversal_spring,DSO_1,DSO_1|trafo_1,down,frozen_ofo,10.0
d_reversal_spring,DSO_1,DSO_1|trafo_2,up,frozen_ofo,10.0
d_reversal_spring,DSO_2,DSO_2|trafo_3,down,frozen_ofo,10.0
d_reversal_spring,DSO_2,DSO_2|trafo_4,up,frozen_ofo,10.0
d_reversal_spring,DSO_2,DSO_2|trafo_5,down,frozen_ofo,10.0
d_reversal_spring,DSO_3,DSO_3|trafo_6,up,frozen_ofo,10.0
d_reversal_spring,DSO_3,DSO_3|trafo_7,down,frozen_ofo,10.0
d_reversal_spring,DSO_3,DSO_3|trafo_8,up,frozen_ofo,10.0
d_reversal_spring,DSO_4,DSO_4|trafo_9,down,frozen_ofo,10.0
d_reversal_spring,DSO_4,DSO_4|trafo_10,up,frozen_ofo,10.0
d_reversal_spring,DSO_4,DSO_4|trafo_11,down,frozen_ofo,10.0
d_reversal_autumn,DSO_1,DSO_1|trafo_0,down,frozen_ofo,10.0
d_reversal_autumn,DSO_1,DSO_1|trafo_1,up,frozen_ofo,10.0
d_reversal_autumn,DSO_1,DSO_1|trafo_2,down,frozen_ofo,10.0
d_reversal_autumn,DSO_2,DSO_2|trafo_3,up,frozen_ofo,10.0
d_reversal_autumn,DSO_2,DSO_2|trafo_4,down,frozen_ofo,10.0
d_reversal_autumn,DSO_2,DSO_2|trafo_5,up,frozen_ofo,10.0
d_reversal_autumn,DSO_3,DSO_3|trafo_6,down,frozen_ofo,10.0
d_reversal_autumn,DSO_3,DSO_3|trafo_7,up,frozen_ofo,10.0
d_reversal_autumn,DSO_3,DSO_3|trafo_8,down,frozen_ofo,10.0
d_reversal_autumn,DSO_4,DSO_4|trafo_9,up,frozen_ofo,10.0
d_reversal_autumn,DSO_4,DSO_4|trafo_10,down,frozen_ofo,10.0
d_reversal_autumn,DSO_4,DSO_4|trafo_11,up,frozen_ofo,10.0
